City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vrangel',42.7297,133.0839,19.03,98,100,1.07,RU,1692024460
1,Adamstown,-25.066,-130.1015,20.72,76,78,9.94,PN,1692024460
2,Waitangi,-43.9535,-176.5597,12.12,96,49,1.34,NZ,1692024461
3,Alofi,-19.0595,-169.9187,22.94,94,75,3.09,NU,1692024462
4,Jamestown,42.097,-79.2353,21.96,77,0,1.54,US,1692024262
5,Iqaluit,63.7506,-68.5145,6.85,100,20,1.54,CA,1692024397
6,Lihue,21.9789,-159.3672,25.77,80,75,6.69,US,1692024463
7,Puerto Natales,-51.7236,-72.4875,2.54,94,97,1.86,CL,1692024463
8,Chīras,35.4167,65.9823,10.04,40,0,2.33,AF,1692024464
9,Port-aux-Français,-49.35,70.2167,6.18,91,100,20.01,TF,1692024464
10,Mbandaka,0.0487,18.2603,26.63,64,96,1.06,CD,1692024397
11,Al Muwayh,22.4333,41.7583,37.16,16,93,7.52,SA,1692024465
12,Sisimiut,66.9395,-53.6735,8.92,79,17,2.55,GL,1692024466
13,Bethel,41.3712,-73.414,25.78,72,40,0.0,US,1692024466
14,Hermanus,-34.4187,19.2345,13.78,63,22,3.57,ZA,1692024467
15,Tobol'sk,58.2,68.2667,14.96,60,18,2.35,RU,1692024467
16,Thompson,55.7435,-97.8558,19.09,72,75,4.12,CA,1692024468
17,Esmeraldas,-19.7625,-44.3139,24.58,41,97,3.73,BR,1692024322
18,Ushuaia,-54.8,-68.3,3.81,56,0,1.54,AR,1692024456
19,Kamina,-8.7386,24.9906,32.88,13,57,0.35,CD,1692024469
20,Illizi,26.4833,8.4667,40.89,9,3,3.16,DZ,1692024470
21,Grytviken,-54.2811,-36.5092,-3.79,80,34,3.2,GS,1692024470
22,Bilibino,68.0546,166.4372,12.68,84,100,1.01,RU,1692024470
23,Belmonte,-15.8631,-38.8828,25.66,62,98,4.74,BR,1692024471
24,Kristinestad,62.2743,21.376,19.5,77,4,6.36,FI,1692024471
25,Labrador City,52.9463,-66.9114,15.95,72,100,4.12,CA,1692024472
26,Puerto Baquerizo Moreno,-0.9,-89.6,24.55,83,75,5.14,EC,1692024472
27,Keflavik,64.0049,-22.5624,14.95,77,40,6.69,IS,1692024473
28,Mortyq,50.7475,56.5056,29.15,21,85,2.48,KZ,1692024473
29,Longyearbyen,78.2186,15.6401,7.91,81,40,4.12,SJ,1692024474
30,Agboville,5.928,-4.2132,25.35,79,100,2.5,CI,1692024475
31,Tazovsky,67.4667,78.7,13.66,59,96,2.19,RU,1692024190
32,Invercargill,-46.4,168.35,3.34,86,100,2.68,NZ,1692024476
33,Papatowai,-46.5619,169.4708,3.14,85,13,2.26,NZ,1692024476
34,Tabou,4.423,-7.3528,24.64,77,100,4.66,CI,1692024477
35,Sarupathar,26.1984,93.8094,25.79,96,96,1.26,IN,1692024477
36,Soligalich,59.0778,42.2864,20.44,89,67,1.56,RU,1692024478
37,Isafjordur,66.0755,-23.124,12.02,76,0,4.63,IS,1692024478
38,Ayang-ni,38.2431,125.78,23.59,91,98,0.87,KP,1692024479
39,Margaret River,-33.95,115.0667,13.56,83,33,6.09,AU,1692024479
40,Hamilton,39.1834,-84.5333,23.74,94,100,4.63,US,1692024479
41,Port Mathurin,-19.6833,63.4167,22.75,75,0,10.55,MU,1692024480
42,Port Elizabeth,-33.918,25.5701,16.16,72,40,8.23,ZA,1692024480
43,Katsuura,35.1333,140.3,28.01,91,43,6.35,JP,1692024481
44,Queenstown,-31.8976,26.8753,19.46,13,21,7.61,ZA,1692024481
45,Lompoc,34.6391,-120.4579,19.96,88,100,1.34,US,1692024482
46,Cabugao,17.7931,120.4578,26.13,90,5,2.28,PH,1692024483
47,Ilulissat,69.2167,-51.1,10.01,76,75,0.51,GL,1692024484
48,Enewetak,11.3474,162.3373,28.68,80,97,7.73,MH,1692024485
49,Novodvinsk,64.4165,40.8122,18.17,98,100,2.98,RU,1692024485
50,Cologne,50.9333,6.95,28.11,64,73,1.34,DE,1692024487
51,Chonchi,-42.6128,-73.8092,11.73,93,100,5.38,CL,1692024487
52,Albany,42.6001,-73.9662,24.8,70,79,0.89,US,1692024318
53,Pecos,31.4229,-103.4932,30.46,47,40,4.12,US,1692024300
54,Vila Velha,-20.3297,-40.2925,23.97,78,75,2.57,BR,1692024347
55,Saipan,15.1355,145.701,28.39,100,40,4.63,MP,1692024490
56,Edinburgh of the Seven Seas,-37.0676,-12.3116,11.71,74,93,5.89,SH,1692024490
57,Cristalina,-16.7686,-47.6136,24.83,31,99,5.15,BR,1692024491
58,Lebu,-37.6167,-73.65,12.88,84,100,2.63,CL,1692024491
59,San Julián,21.0167,-102.1667,18.2,73,15,2.7,MX,1692024378
60,Talnakh,69.4865,88.3972,16.17,64,39,2.79,RU,1692024492
61,Plonéour-Lanvern,47.9,-4.2833,19.18,94,75,5.14,FR,1692024493
62,Avarua,-21.2078,-159.775,21.03,88,100,1.54,CK,1692024494
63,Port Lincoln,-34.7333,135.8667,11.25,74,0,3.08,AU,1692024291
64,Utrik,11.2278,169.8474,27.98,82,26,6.31,MH,1692024495
65,Mogador,31.5125,-9.77,37.72,36,3,6.69,MA,1692024495
